ort;teilort;strasse
Bad Boll;;Herrschaftstraße
Bad Boll;;Sehningen
Bad Boll;;Erlenwasen
Bad Boll;;Sonnenweg
Zell unter Aichelberg;;Tannenstraße
Geislingen a. d. Steige;;Eybachstraße
